participant_id,condition,question_id,decision,ai_correct,timestamp,latency_ms
7bce1366-dfbd-43f3-be6d-e8fe3911b913,B,19,accept,true,2026-03-22T19:11:57.190Z,2118
7bce1366-dfbd-43f3-be6d-e8fe3911b913,B,20,reject,true,2026-03-22T19:11:59.105Z,1916
9404699a-54b0-4392-bc1f-bfb3d36e5c5c,A,1,accept,true,2026-03-22T19:20:10.271Z,5550
9404699a-54b0-4392-bc1f-bfb3d36e5c5c,A,2,reject,false,2026-03-22T19:20:15.319Z,5496
9404699a-54b0-4392-bc1f-bfb3d36e5c5c,A,3,accept,true,2026-03-22T19:20:17.502Z,2183
9404699a-54b0-4392-bc1f-bfb3d36e5c5c,A,4,reject,false,2026-03-22T19:20:19.851Z,2348
9404699a-54b0-4392-bc1f-bfb3d36e5c5c,A,5,accept,true,2026-03-22T19:20:21.865Z,2016
9404699a-54b0-4392-bc1f-bfb3d36e5c5c,A,6,reject,true,2026-03-22T19:20:23.962Z,2099
9404699a-54b0-4392-bc1f-bfb3d36e5c5c,A,7,accept,false,2026-03-22T19:20:26.166Z,2199
9404699a-54b0-4392-bc1f-bfb3d36e5c5c,A,8,accept,true,2026-03-22T19:20:28.266Z,2100
9404699a-54b0-4392-bc1f-bfb3d36e5c5c,A,9,accept,false,2026-03-22T19:20:30.615Z,2350
9404699a-54b0-4392-bc1f-bfb3d36e5c5c,A,10,accept,true,2026-03-22T19:20:32.796Z,2183
9404699a-54b0-4392-bc1f-bfb3d36e5c5c,A,11,reject,true,2026-03-22T19:20:35.129Z,2332
9404699a-54b0-4392-bc1f-bfb3d36e5c5c,A,12,accept,false,2026-03-22T19:20:37.127Z,1999
9404699a-54b0-4392-bc1f-bfb3d36e5c5c,A,13,accept,true,2026-03-22T19:20:39.193Z,2066
9404699a-54b0-4392-bc1f-bfb3d36e5c5c,A,14,accept,false,2026-03-22T19:20:41.250Z,2048
9404699a-54b0-4392-bc1f-bfb3d36e5c5c,A,15,accept,false,2026-03-22T19:20:43.394Z,2150
9404699a-54b0-4392-bc1f-bfb3d36e5c5c,A,16,reject,true,2026-03-22T19:20:47.473Z,4067
9404699a-54b0-4392-bc1f-bfb3d36e5c5c,A,17,accept,false,2026-03-22T19:20:50.328Z,2866
9404699a-54b0-4392-bc1f-bfb3d36e5c5c,A,18,reject,true,2026-03-22T19:20:52.328Z,1999
9404699a-54b0-4392-bc1f-bfb3d36e5c5c,A,19,accept,true,2026-03-22T19:20:54.295Z,1965
